Question,Answer
What is the price of GE Definium Tempo?,GE Definium Tempo costs ₹18-25 Lakhs.
What is the accuracy of GE Definium Tempo?,GE Definium Tempo has 98% accuracy.
Who manufactures GE Definium Tempo?,GE Healthcare manufactures GE Definium Tempo.
What is the price of Siemens Multix Fusion?,Siemens Multix Fusion costs ₹20-30 Lakhs.
What is the accuracy of Siemens Multix Fusion?,Siemens Multix Fusion has 99% accuracy.
Who manufactures Siemens Multix Fusion?,Siemens Healthineers manufactures Siemens Multix Fusion.
What is the price of Philips DigitalDiagnost C90?,Philips DigitalDiagnost C90 costs ₹15-28 Lakhs.
What is the accuracy of Philips DigitalDiagnost C90?,Philips DigitalDiagnost C90 has 97% accuracy.
Who manufactures Philips DigitalDiagnost C90?,Philips manufactures Philips DigitalDiagnost C90.
What is the price of Fujifilm FDR Smart X?,Fujifilm FDR Smart X costs ₹12-22 Lakhs.
What is the accuracy of Fujifilm FDR Smart X?,Fujifilm FDR Smart X has 96% accuracy.
Who manufactures Fujifilm FDR Smart X?,Fujifilm manufactures Fujifilm FDR Smart X.
